t,Epoch,$(\mathrm{s})$,1,-inf,inf,200
timeOfFlight,Time of Flight,$(\mathrm{s})$,1,0,inf,200
height,Height,$(\mathrm{km})$,1e3,0,200,20
latitudeAngle,Latitude Angle,$(\mathrm{deg})$,1,-90,90,15
longitudeAngle,Longitude Angle,$(\mathrm{deg})$,1,-180,180,30
airspeed,Airspeed,$(\frac{\mathrm{m}}{\mathrm{s}})$,1,0,8000,1000
normalizedSpecificEnergy,Normalized Specific Energy,$(-)$,1,0,5,1
dynamicPressure,Dynamic Pressure,$(\mathrm{kPa})$,1e3,0,100,10
bendingMoment,Bending Moment,(kPa-rad),1e3,0,5,.5
mass,Mass,$(\mathrm{kg})$,1,0,140000,20000
flightPathAngle,Flight-Path Angle,$(\mathrm{deg})$,1,-15,15,3
centralTargetAngularDistanceToGo,Central Target Angular Distance To Go,$(\mathrm{deg})$,1,0,60,10
bodyFrameTotalGLoad_x,Body Frame Total g-Load - x,$(g_0)$,1,-4,4,1
bodyFrameTotalGLoad_y,Body Frame Total g-Load - y,$(g_0)$,1,-4,4,1
bodyFrameTotalGLoad_z,Body Frame Total g-Load - z,$(g_0)$,1,-4,4,1
bodyFrameTotalGLoadMagnitude,Body Frame Total g-Load Magnitude,$(g_0)$,1,0,10,2
passengerFrameTotalGLoad_x,Passenger Frame Total g-Load - x,$(g_0)$,1,-4,4,1
passengerFrameTotalGLoad_y,Passenger Frame Total g-Load - y,$(g_0)$,1,-4,4,1
passengerFrameTotalGLoad_z,Passenger Frame Total g-Load - z,$(g_0)$,1,-4,4,1
passengerFrameTotalAcceleration_x,Passenger Frame Total Acceleration - x,$(\frac{\mathrm{m}}{\mathrm{s}^2})$,1,-inf,inf,1
passengerFrameTotalAcceleration_y,Passenger Frame Total Acceleration - y,$(\frac{\mathrm{m}}{\mathrm{s}^2})$,1,-inf,inf,1
passengerFrameTotalAcceleration_z,Passenger Frame Total Acceleration - z,$(\frac{\mathrm{m}}{\mathrm{s}^2})$,1,-inf,inf,1
heatFluxChapmanNose,Chapman Heat Flux - Nose,$(\frac{\mathrm{kW}}{\mathrm{m}^2})$,1e3,0,1000,100
x_R,Rotating Planetocentric Position - x,$(\mathrm{km})$,1e3,-inf,inf,1
y_R,Rotating Planetocentric Position - y,$(\mathrm{km})$,1e3,-inf,inf,1
